institution_enhed,title,vejnavn,husnr,opsyn,drift_ansvarlig,FID,adresse,postnr,toilet_type,handicapadgang,mandag,tirsdag,onsdag,torsdag,fredag,loerdag,soendag,opening_hours,aabningstid_bemrk,placering,longitude,latitude
"DRIFT, INDRE",Christianshavns Voldgade toilet.1,Christianshavns Voldgade,36,Nej,Udliciteret,toilet.1,"Christianshavns Vold, Elefantens Bastion",,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,,Park,12.592711,55.669983
"DRIFT, INDRE",Christianshavns Voldgade toilet.2,Christianshavns Voldgade,36,Nej,Udliciteret,toilet.2,"Christianshavns Vold, Elefantens bastion",,H+D,Nej,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,9.30 - 17.00,10.00 - 17.00,lukket,lukket,Monday: 9.30 - 17.00 Tuesday: 9.30 - 17.00 Wednesday: 9.30 - 17.00 Thursday: 9.30 - 17.00 Friday: 10.00 - 17.00 Saturday: lukket Sunday: lukket,,Andet,12.592762,55.669931
"DRIFT, NORD",Damhusdæmningen toilet.3,Damhusdæmningen,14,Nej,Udliciteret,toilet.3,Damhusdæmningen 14  Engen,,H+D,Nej,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.468016,55.682449
"DRIFT, SYD",Amager Strandvej toilet.4,Amager Strandvej,240,Nej,Udliciteret,toilet.4,"Kastrup Fort, Kasemat nord",2300,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.638736,55.648955
"DRIFT, SYD",Amager Strandvej toilet.5,Amager Strandvej,11,Nej,Udliciteret,toilet.5,Søstjernen Amager Strandvej 11,2300,H+D+handicap,Ja,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,ca. 9.00 - 22.00,Monday: ca. 9.00 - 22.00 Tuesday: ca. 9.00 - 22.00 Wednesday: ca. 9.00 - 22.00 Thursday: ca. 9.00 - 22.00 Friday: ca. 9.00 - 22.00 Saturday: ca. 9.00 - 22.00 Sunday: ca. 9.00 - 22.00,Åbent fra 1. april til 30. september,Park,12.632197,55.666373
"DRIFT, SYD",Amager Strandvej toilet.6,Amager Strandvej,55,Nej,Udliciteret,toilet.6,Amager Strandvej 55 v. Øresundsvej,2300,H+D+handicap,?,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,Monday: 8.00 - 22.00 / 18.00 Tuesday: 8.00 - 22.00 / 18.00 Wednesday: 8.00 - 22.00 / 18.00 Thursday: 8.00 - 22.00 / 18.00 Friday: 8.00 - 22.00 / 18.00 Saturday: 8.00 - 22.00 / 18.00 Sunday: 8.00 - 22.00 / 18.00,Åbent til 22.00 fra 15.maj til 31. august,Park,12.632405,55.662019
"DRIFT, SYD",Amager Strandvej toilet.7,Amager Strandvej,175,Nej,Udliciteret,toilet.7,Amager Strandvej 175 v. Svend Vonveds Vej,2300,H+D+handicap,?,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,Monday: 8.00 - 22.00 / 18.00 Tuesday: 8.00 - 22.00 / 18.00 Wednesday: 8.00 - 22.00 / 18.00 Thursday: 8.00 - 22.00 / 18.00 Friday: 8.00 - 22.00 / 18.00 Saturday: 8.00 - 22.00 / 18.00 Sunday: 8.00 - 22.00 / 18.00,Åbent til 22.00 fra 15.maj til 31. august,Park,12.640629,55.651242
"DRIFT, SYD",Amager Strandvej toilet.8,Amager Strandvej,125,Nej,Udliciteret,toilet.8,Amager Strandvej 125 v. Italiensvej,2300,H+D+handicap,?,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,8.00 - 22.00 / 18.00,Monday: 8.00 - 22.00 / 18.00 Tuesday: 8.00 - 22.00 / 18.00 Wednesday: 8.00 - 22.00 / 18.00 Thursday: 8.00 - 22.00 / 18.00 Friday: 8.00 - 22.00 / 18.00 Saturday: 8.00 - 22.00 / 18.00 Sunday: 8.00 - 22.00 / 18.00,Åbent til 22.00 fra 15.maj til 31. august,Park,12.636567,55.657597
"DRIFT, SYD",Amagerbrogade toilet.9,Amagerbrogade,185,Nej,Egen drift,toilet.9,"Sundbyøster Plads, Amagerbrogade 185",2300,Danfo toiletenhed,Ja,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,aldrig lukket,Monday: aldrig lukket Tuesday: aldrig lukket Wednesday: aldrig lukket Thursday: aldrig lukket Friday: aldrig lukket Saturday: aldrig lukket Sunday: aldrig lukket,,Gade,12.612123,55.651841
"DRIFT, INDRE",Amagertorv toilet.10,Amagertorv,1F,Ja,Egen drift,toilet.10,Amagertorv 1F,,H+D,Nej,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,9.00 - 22.30,Monday: 9.00 - 22.30 Tuesday: 9.00 - 22.30 Wednesday: 9.00 - 22.30 Thursday: 9.00 - 22.30 Friday: 9.00 - 22.30 Saturday: 9.00 - 22.30 Sunday: 9.00 - 22.30,,Gade,12.579556,55.678826
Vesterbro Svømmehal,Angelgade toilet.11,Angelgade,4,Nej,,toilet.11,Angelgade 4 ,1765,H+D,Nej,,,,,,,,Monday:  Tuesday:  Wednesday:  Thursday:  Friday:  Saturday:  Sunday: ,"Skiftende åbningstider, se dem på: http://teambade.kk.dk/indhold/%C3%A5bningstider-lukkedage-og-driftinfo",Kommunal institution,12.538757,55.664562
Valby Bibliotek,Annexstræde toilet.12,Annexstræde,2,Nej,,toilet.12,Annexstræde 2,,H+D+handicap,Ja,7:00 - 18:00,7:00 - 18:00,7:00 - 18:00,7:00 - 18:00,7:00 - 18:00,7:00 - 15:00,,Monday: 7:00 - 18:00 Tuesday: 7:00 - 18:00 Wednesday: 7:00 - 18:00 Thursday: 7:00 - 18:00 Friday: 7:00 - 18:00 Saturday: 7:00 - 15:00 Sunday: ,,Kommunal institution,12.513107,55.665343
